;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
German Wirehaired Pointer;Affectionate, Eager, Enthusiastic;55.88;66.04;22.6796185;31.751465900000003;1.0;Needs Lots of Activity
Giant Schnauzer;Loyal, Alert, Trainable;59.69;69.85;24.947580350000003;38.55535145;1.0;Needs Lots of Activity
Glen of Imaal Terrier;Gentle, Spirited, Bold;31.75;35.56;14.51495584;18.143694800000002;0.6;Regular Exercise
Golden Retriever;Friendly, Intelligent, Devoted;54.61;60.96;24.947580350000003;34.01942775;1.0;Needs Lots of Activity
Gordon Setter;Affectionate, Confident, Bold;58.42;68.58;20.41165665;36.287389600000004;1.0;Needs Lots of Activity
Grand Basset Griffon Vend̩en;Independent, Happy, Outgoing;39.37;45.72;18.143694800000002;20.41165665;1.0;Needs Lots of Activity
Great Dane;Friendly, Patient, Dependable;71.12;81.28;49.895160700000005;79.37866475;0.8;Energetic
Great Pyrenees;Smart, Patient, Calm;63.5;81.28;38.55535145;45.359237;1.0;Needs Lots of Activity
Greater Swiss Mountain Dog;Faithful, Family-Oriented, Dependable;59.69;72.39;38.55535145;63.502931800000006;0.8;Energetic
Greyhound;Gentle, Independent, Noble;68.58;76.2;27.2155422;31.751465900000003;0.8;Energetic
Hamiltonstovare;Agile, Versatile, Regal;48.26;60.96;18.143694800000002;34.01942775;0.8;Energetic
Hanoverian Scenthound;Loyal, Independent, Calm;48.26;53.34;35.83379723;44.905644630000005;0.6;Regular Exercise
Harrier;Friendly, Outgoing, People-Oriented;48.26;53.34;20.41165665;27.2155422;1.0;Needs Lots of Activity
Havanese;Intelligent, Outgoing, Funny;21.59;29.21;3.17514659;5.8967008100000005;0.6;Regular Exercise
Hokkaido;Dignified, Alert, Devoted;45.72;50.8;19.958064280000002;29.937096420000003;0.8;Energetic
Hovawart;Alert, Faithful, Intelligent;58.42;71.12;29.48350405;40.8233133;0.6;Regular Exercise
Ibizan Hound;Family-Oriented, Even-Tempered, Polite;57.15;69.85;20.41165665;22.6796185;1.0;Needs Lots of Activity
Icelandic Sheepdog;Friendly, Playful, Inquisitive;41.910000000000004;45.72;11.33980925;13.6077711;0.8;Energetic
Irish Red and White Setter;Courageous, Spirited, Determined;57.15;66.04;15.875732950000002;27.2155422;1.0;Needs Lots of Activity
Irish Setter;Active, Outgoing, Sweet-Natured;63.5;68.58;27.2155422;31.751465900000003;1.0;Needs Lots of Activity
Irish Terrier;Bold, Dashing, Tenderhearted;45.72;45.72;11.33980925;12.24699399;0.6;Regular Exercise
Irish Water Spaniel;Playful, Hardworking, Brave;53.34;60.96;20.41165665;30.84428116;1.0;Needs Lots of Activity
Irish Wolfhound;Courageous, Dignified, Calm;76.2;81.28;47.62719885;54.4310844;0.6;Regular Exercise
Italian Greyhound;Playful, Alert, Sensitive;33.02;38.1;3.17514659;6.35029318;0.6;Regular Exercise
Jagdterrier;Courageous, Intelligent, Hardworking;33.02;40.64;7.71107029;9.979032140000001;;
Japanese Chin;Charming, Noble, Loving;20.32;27.94;3.17514659;4.9895160700000005;0.6;Regular Exercise
Japanese Spitz;Loyal, Playful, Smart;30.48;38.1;4.535923700000001;11.33980925;0.6;Regular Exercise
Jindo;Alert, Intelligent, Bold;45.72;55.88;13.6077711;22.6796185;0.8;Energetic
Kai Ken;Loyal, Agile, Keen;39.37;49.53;9.071847400000001;18.143694800000002;0.8;Energetic
Karelian Bear Dog;Loyal, Independent, Courageous;48.26;59.69;19.958064280000002;22.22602613;0.4;Calm
Keeshond;Friendly, Lively, Outgoing;43.18;45.72;15.875732950000002;20.41165665;0.6;Regular Exercise
Kerry Blue Terrier;Smart, Alert, People-Oriented;44.45;49.53;14.968548210000002;18.143694800000002;0.6;Regular Exercise
Kishu Ken;Faithful, Noble, Docile;43.18;55.88;13.6077711;27.2155422;0.8;Energetic
